,mpg,cyl,displ,hp,weight,accel,yr,origin,name,mfr
355,30.7,6,145.0,76,3160,19.6,81,Europe,volvo diesel,volvo
356,25.4,6,168.0,116,2900,12.6,81,Asia,toyota cressida,toyota
357,24.2,6,146.0,120,2930,13.8,81,Asia,datsun 810 maxima,datsun
358,22.4,6,231.0,110,3415,15.8,81,North America,buick century,buick
359,26.6,8,350.0,105,3725,19.0,81,North America,oldsmobile cutlass ls,oldsmobile
360,20.2,6,200.0,88,3060,17.1,81,North America,ford granada gl,ford
361,17.6,6,225.0,85,3465,16.6,81,North America,chrysler lebaron salon,chrysler
362,28.0,4,112.0,88,2605,19.6,82,North America,chevrolet cavalier,chevrolet
363,27.0,4,112.0,88,2640,18.6,82,North America,chevrolet cavalier wagon,chevrolet
364,34.0,4,112.0,88,2395,18.0,82,North America,chevrolet cavalier 2-door,chevrolet
365,31.0,4,112.0,85,2575,16.2,82,North America,pontiac j2000 se hatchback,pontiac
366,29.0,4,135.0,84,2525,16.0,82,North America,dodge aries se,dodge
367,27.0,4,151.0,90,2735,18.0,82,North America,pontiac phoenix,pontiac
368,24.0,4,140.0,92,2865,16.4,82,North America,ford fairmont futura,ford
369,36.0,4,105.0,74,1980,15.3,82,Europe,volkswagen rabbit l,volkswagen
370,37.0,4,91.0,68,2025,18.2,82,Asia,mazda glc custom l,mazda
371,31.0,4,91.0,68,1970,17.6,82,Asia,mazda glc custom,mazda
372,38.0,4,105.0,63,2125,14.7,82,North America,plymouth horizon miser,plymouth
373,36.0,4,98.0,70,2125,17.3,82,North America,mercury lynx l,mercury
374,36.0,4,120.0,88,2160,14.5,82,Asia,nissan stanza xe,nissan
375,36.0,4,107.0,75,2205,14.5,82,Asia,honda accord,honda
376,34.0,4,108.0,70,2245,16.9,82,Asia,toyota corolla,toyota
377,38.0,4,91.0,67,1965,15.0,82,Asia,honda civic,honda
378,32.0,4,91.0,67,1965,15.7,82,Asia,honda civic (auto),honda
379,38.0,4,91.0,67,1995,16.2,82,Asia,datsun 310 gx,datsun
380,25.0,6,181.0,110,2945,16.4,82,North America,buick century limited,buick
381,38.0,6,262.0,85,3015,17.0,82,North America,oldsmobile cutlass ciera (diesel),oldsmobile
382,26.0,4,156.0,92,2585,14.5,82,North America,chrysler lebaron medallion,chrysler
383,22.0,6,232.0,112,2835,14.7,82,North America,ford granada l,ford
384,32.0,4,144.0,96,2665,13.9,82,Asia,toyota celica gt,toyota
385,36.0,4,135.0,84,2370,13.0,82,North America,dodge charger 2.2,dodge
386,27.0,4,151.0,90,2950,17.3,82,North America,chevrolet camaro,chevrolet
387,27.0,4,140.0,86,2790,15.6,82,North America,ford mustang gl,ford
388,44.0,4,97.0,52,2130,24.6,82,Europe,vw pickup,volkswagen
389,32.0,4,135.0,84,2295,11.6,82,North America,dodge rampage,dodge
390,28.0,4,120.0,79,2625,18.6,82,North America,ford ranger,ford
391,31.0,4,119.0,82,2720,19.4,82,North America,chevy s-10,chevrolet
